ordernumber,quantityordered,priceeach,sales,orderdate,status,month_id,year_id,productline,customername,addressline1,city,state,country,territory,dealsize
10275,45,92.83,4177.35,2004-07-23,Shipped,7,2004,Motorcycles,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,,France,EMEA,Medium
10285,36,100.0,4099.68,2004-08-27,Shipped,8,2004,Motorcycles,Marta's Replicas Co.,39323 Spinnaker Dr.,Cambridge,MA,USA,NAM,Medium
10299,23,100.0,2597.39,2004-09-30,Shipped,9,2004,Motorcycles,"Toys of Finland, Co.",Keskuskatu 45,Helsinki,,Finland,EMEA,Small
10309,41,100.0,4394.38,2004-10-15,Shipped,10,2004,Motorcycles,Baane Mini Imports,Erling Skakkes gate 78,Stavern,,Norway,EMEA,Medium
10318,46,94.74,4358.04,2004-11-02,Shipped,11,2004,Motorcycles,Diecast Classics Inc.,7586 Pompton St.,Allentown,PA,USA,NAM,Medium
10329,42,100.0,4396.14,2004-11-15,Shipped,11,2004,Motorcycles,Land of Toys Inc.,897 Long Airport Avenue,NYC,NY,USA,NAM,Medium
10341,41,100.0,7737.93,2004-11-24,Shipped,11,2004,Motorcycles,Salzburg Collectables,Geislweg 14,Salzburg,,Austria,EMEA,Large
10361,20,72.55,1451.0,2004-12-17,Shipped,12,2004,Motorcycles,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,Australia,APAC,Small
10375,21,34.91,733.11,2005-02-03,Shipped,2,2005,Motorcycles,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,,France,EMEA,Small
10388,42,76.36,3207.12,2005-03-03,Shipped,3,2005,Motorcycles,FunGiftIdeas.com,1785 First Street,New Bedford,MA,USA,NAM,Medium
10403,24,100.0,2434.56,2005-04-08,Shipped,4,2005,Motorcycles,"UK Collectables, Ltd.",Berkeley Gardens 12  Brewery,Liverpool,,UK,EMEA,Small
10417,66,100.0,7516.08,2005-05-13,Disputed,5,2005,Motorcycles,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,,Spain,EMEA,Large
10103,26,100.0,5404.62,2003-01-29,Shipped,1,2003,Classic Cars,Baane Mini Imports,Erling Skakkes gate 78,Stavern,,Norway,EMEA,Medium
10112,29,100.0,7209.11,2003-03-24,Shipped,3,2003,Classic Cars,"Volvo Model Replicas, Co",Berguvsvgen  8,Lule,,Sweden,EMEA,Large
10126,38,100.0,7329.06,2003-05-28,Shipped,5,2003,Classic Cars,"Corrida Auto Replicas, Ltd","C/ Araquil, 67",Madrid,,Spain,EMEA,Large
10140,37,100.0,7374.1,2003-07-24,Shipped,7,2003,Classic Cars,Technics Stores Inc.,9408 Furth Circle,Burlingame,CA,USA,NAM,Large
10150,45,100.0,10993.5,2003-09-19,Shipped,9,2003,Classic Cars,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,,Singapore,Japan,Large
10163,21,100.0,4860.24,2003-10-20,Shipped,10,2003,Classic Cars,Classic Legends Inc.,5905 Pompton St.,NYC,NY,USA,NAM,Medium
10174,34,100.0,8014.82,2003-11-06,Shipped,11,2003,Classic Cars,"Australian Gift Network, Co",31 Duncan St. West End,South Brisbane,Queensland,Australia,APAC,Large
10183,23,100.0,5372.57,2003-11-13,Shipped,11,2003,Classic Cars,"Classic Gift Ideas, Inc",782 First Street,Philadelphia,PA,USA,NAM,Medium
10194,42,100.0,7290.36,2003-11-25,Shipped,11,2003,Classic Cars,"Saveley & Henriot, Co.","2, rue du Commerce",Lyon,,France,EMEA,Large
10206,47,100.0,9064.89,2003-12-05,Shipped,12,2003,Classic Cars,Canadian Gift Exchange Network,1900 Oak St.,Vancouver,BC,Canada,NAM,Large
10215,35,100.0,6075.3,2004-01-29,Shipped,1,2004,Classic Cars,West Coast Collectables Co.,3675 Furth Circle,Burbank,CA,USA,NAM,Medium
10228,29,100.0,6463.23,2004-03-10,Shipped,3,2004,Classic Cars,Cambridge Collectables Co.,4658 Baden Av.,Cambridge,MA,USA,NAM,Medium
10245,34,100.0,6120.34,2004-05-04,Shipped,5,2004,Classic Cars,Super Scale Inc.,567 North Pendale Street,New Haven,CT,USA,NAM,Medium
10258,32,100.0,7680.64,2004-06-15,Shipped,6,2004,Classic Cars,"Tokyo Collectables, Ltd",2-2-8 Roppongi,Minato-ku,Tokyo,Japan,Japan,Large
10270,21,100.0,4905.39,2004-07-19,Shipped,7,2004,Classic Cars,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,Australia,APAC,Medium
10280,34,100.0,8014.82,2004-08-17,Shipped,8,2004,Classic Cars,Amica Models & Co.,Via Monte Bianco 34,Torino,,Italy,EMEA,Large
10291,37,100.0,7136.19,2004-09-08,Shipped,9,2004,Classic Cars,Scandinavian Gift Ideas,?kergatan 24,Boras,,Sweden,EMEA,Large
10304,47,100.0,10172.7,2004-10-11,Shipped,10,2004,Classic Cars,Auto Assoc. & Cie.,"67, avenue de l'Europe",Versailles,,France,EMEA,Large
10312,48,100.0,11623.7,2004-10-21,Shipped,10,2004,Classic Cars,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,CA,USA,NAM,Large
10322,40,100.0,6000.4,2004-11-04,Shipped,11,2004,Classic Cars,Online Diecast Creations Co.,2304 Long Airport Avenue,Nashua,NH,USA,NAM,Medium
10333,26,100.0,3003.0,2004-11-18,Shipped,11,2004,Classic Cars,Mini Wheels Co.,5557 North Pendale Street,San Francisco,CA,USA,NAM,Medium
10347,30,100.0,3944.7,2004-11-29,Shipped,11,2004,Classic Cars,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Victoria,Australia,APAC,Medium
10357,32,100.0,5691.84,2004-12-10,Shipped,12,2004,Classic Cars,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,CA,USA,NAM,Medium
10369,41,100.0,4514.92,2005-01-20,Shipped,1,2005,Classic Cars,Collectables For Less Inc.,7825 Douglas Av.,Brickhaven,MA,USA,NAM,Medium
10381,36,100.0,8254.8,2005-02-17,Shipped,2,2005,Classic Cars,Corporate Gift Ideas Co.,7734 Strong St.,San Francisco,CA,USA,NAM,Large
10391,24,100.0,2416.56,2005-03-09,Shipped,3,2005,Classic Cars,"Anna's Decorations, Ltd",201 Miller Street,North Sydney,NSW,Australia,APAC,Small
10411,23,100.0,4140.23,2005-05-01,Shipped,5,2005,Classic Cars,Quebec Home Shopping Network,43 rue St. Laurent,Montreal,Quebec,Canada,NAM,Medium
10424,50,100.0,12001.0,2005-05-31,In Process,5,2005,Classic Cars,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,,Spain,EMEA,Large
10107,39,99.91,3896.49,2003-02-24,Shipped,2,2003,Motorcycles,Land of Toys Inc.,897 Long Airport Avenue,NYC,NY,USA,NAM,Medium
10120,29,96.34,2793.86,2003-04-29,Shipped,4,2003,Motorcycles,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Victoria,Australia,APAC,Small
10134,27,100.0,3307.77,2003-07-01,Shipped,7,2003,Motorcycles,Lyon Souveniers,27 rue du Colonel Pierre Avia,Paris,,France,EMEA,Medium
10145,37,100.0,5192.95,2003-08-25,Shipped,8,2003,Motorcycles,Toys4GrownUps.com,78934 Hillside Dr.,Pasadena,CA,USA,NAM,Medium
10159,37,100.0,5016.83,2003-10-10,Shipped,10,2003,Motorcycles,Corporate Gift Ideas Co.,7734 Strong St.,San Francisco,CA,USA,NAM,Medium
10168,27,100.0,3660.93,2003-10-28,Shipped,10,2003,Motorcycles,Technics Stores Inc.,9408 Furth Circle,Burlingame,CA,USA,NAM,Medium
10180,42,100.0,4695.6,2003-11-11,Shipped,11,2003,Motorcycles,Daedalus Designs Imports,"184, chausse de Tournai",Lille,,France,EMEA,Medium
10188,38,96.34,3660.92,2003-11-18,Shipped,11,2003,Motorcycles,Herkku Gifts,"Drammen 121, PR 744 Sentrum",Bergen,,Norway,EMEA,Medium
10201,24,100.0,3025.92,2003-12-01,Shipped,12,2003,Motorcycles,Mini Wheels Co.,5557 North Pendale Street,San Francisco,CA,USA,NAM,Medium
10210,23,100.0,3009.09,2004-01-12,Shipped,1,2004,Motorcycles,Osaka Souveniers Co.,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Osaka,Japan,Japan,Medium
10223,47,100.0,5422.39,2004-02-20,Shipped,2,2004,Motorcycles,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Victoria,Australia,APAC,Medium
10236,22,100.0,2852.08,2004-04-03,Shipped,4,2004,Motorcycles,Motor Mint Distributors Inc.,11328 Douglas Av.,Philadelphia,PA,USA,NAM,Small
10251,44,100.0,5756.52,2004-05-18,Shipped,5,2004,Motorcycles,Tekni Collectables Inc.,7476 Moss Rd.,Newark,NJ,USA,NAM,Medium
10263,40,100.0,4472.0,2004-06-28,Shipped,6,2004,Motorcycles,Gift Depot Inc.,25593 South Bay Ln.,Bridgewater,CT,USA,NAM,Medium
10275,22,100.0,2904.44,2004-07-23,Shipped,7,2004,Motorcycles,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,,France,EMEA,Small
10285,47,100.0,6484.59,2004-08-27,Shipped,8,2004,Motorcycles,Marta's Replicas Co.,39323 Spinnaker Dr.,Cambridge,MA,USA,NAM,Medium
10298,39,96.34,3757.26,2004-09-27,Shipped,9,2004,Motorcycles,Atelier graphique,"54, rue Royale",Nantes,,France,EMEA,Medium
10308,34,100.0,4043.96,2004-10-15,Shipped,10,2004,Motorcycles,Mini Classics,3758 North Pendale Street,White Plains,NY,USA,NAM,Medium
10318,45,100.0,5566.5,2004-11-02,Shipped,11,2004,Motorcycles,Diecast Classics Inc.,7586 Pompton St.,Allentown,PA,USA,NAM,Medium
10329,20,100.0,3176.0,2004-11-15,Shipped,11,2004,Motorcycles,Land of Toys Inc.,897 Long Airport Avenue,NYC,NY,USA,NAM,Medium
10339,40,68.92,2756.8,2004-11-23,Shipped,11,2004,Motorcycles,"Tokyo Collectables, Ltd",2-2-8 Roppongi,Minato-ku,Tokyo,Japan,Japan,Small
10361,26,51.15,1329.9,2004-12-17,Shipped,12,2004,Motorcycles,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,Australia,APAC,Small
10374,39,100.0,5288.01,2005-02-02,Shipped,2,2005,Motorcycles,"Australian Gift Network, Co",31 Duncan St. West End,South Brisbane,Queensland,Australia,APAC,Medium
10388,50,44.51,2225.5,2005-03-03,Shipped,3,2005,Motorcycles,FunGiftIdeas.com,1785 First Street,New Bedford,MA,USA,NAM,Small
10402,45,100.0,5833.8,2005-04-07,Shipped,4,2005,Motorcycles,Auto Canal Petit,"25, rue Lauriston",Paris,,France,EMEA,Medium
10417,45,100.0,5887.35,2005-05-13,Disputed,5,2005,Motorcycles,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,,Spain,EMEA,Medium
10107,27,100.0,6065.55,2003-02-24,Shipped,2,2003,Motorcycles,Land of Toys Inc.,897 Long Airport Avenue,NYC,NY,USA,NAM,Medium
10120,46,100.0,9264.86,2003-04-29,Shipped,4,2003,Motorcycles,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Victoria,Australia,APAC,Large
10134,31,100.0,7023.98,2003-07-01,Shipped,7,2003,Motorcycles,Lyon Souveniers,27 rue du Colonel Pierre Avia,Paris,,France,EMEA,Large
10145,33,100.0,5176.38,2003-08-25,Shipped,8,2003,Motorcycles,Toys4GrownUps.com,78934 Hillside Dr.,Pasadena,CA,USA,NAM,Medium
10159,22,100.0,4132.7,2003-10-10,Shipped,10,2003,Motorcycles,Corporate Gift Ideas Co.,7734 Strong St.,San Francisco,CA,USA,NAM,Medium
10168,20,100.0,4183.0,2003-10-28,Shipped,10,2003,Motorcycles,Technics Stores Inc.,9408 Furth Circle,Burlingame,CA,USA,NAM,Medium
10180,41,100.0,8892.9,2003-11-11,Shipped,11,2003,Motorcycles,Daedalus Designs Imports,"184, chausse de Tournai",Lille,,France,EMEA,Large
10188,45,100.0,8714.7,2003-11-18,Shipped,11,2003,Motorcycles,Herkku Gifts,"Drammen 121, PR 744 Sentrum",Bergen,,Norway,EMEA,Large
10201,49,100.0,8065.89,2003-12-01,Shipped,12,2003,Motorcycles,Mini Wheels Co.,5557 North Pendale Street,San Francisco,CA,USA,NAM,Large
10210,34,100.0,6123.4,2004-01-12,Shipped,1,2004,Motorcycles,Osaka Souveniers Co.,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Osaka,Japan,Japan,Medium
10223,49,100.0,9774.03,2004-02-20,Shipped,2,2004,Motorcycles,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Victoria,Australia,APAC,Large
10237,39,100.0,7023.9,2004-04-05,Shipped,4,2004,Motorcycles,Vitachrome Inc.,2678 Kingston Rd.,NYC,NY,USA,NAM,Large
10251,43,100.0,7078.23,2004-05-18,Shipped,5,2004,Motorcycles,Tekni Collectables Inc.,7476 Moss Rd.,Newark,NJ,USA,NAM,Large
10263,41,100.0,8336.94,2004-06-28,Shipped,6,2004,Motorcycles,Gift Depot Inc.,25593 South Bay Ln.,Bridgewater,CT,USA,NAM,Large
10275,36,100.0,6901.92,2004-07-23,Shipped,7,2004,Motorcycles,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,,France,EMEA,Medium
10285,27,100.0,5438.07,2004-08-27,Shipped,8,2004,Motorcycles,Marta's Replicas Co.,39323 Spinnaker Dr.,Cambridge,MA,USA,NAM,Medium
10299,29,100.0,6683.34,2004-09-30,Shipped,9,2004,Motorcycles,"Toys of Finland, Co.",Keskuskatu 45,Helsinki,,Finland,EMEA,Medium
10308,20,100.0,4570.4,2004-10-15,Shipped,10,2004,Motorcycles,Mini Classics,3758 North Pendale Street,White Plains,NY,USA,NAM,Medium
10318,37,100.0,7667.14,2004-11-02,Shipped,11,2004,Motorcycles,Diecast Classics Inc.,7586 Pompton St.,Allentown,PA,USA,NAM,Large
10329,26,100.0,5868.2,2004-11-15,Shipped,11,2004,Motorcycles,Land of Toys Inc.,897 Long Airport Avenue,NYC,NY,USA,NAM,Medium
10339,39,76.67,2990.13,2004-11-23,Shipped,11,2004,Motorcycles,"Tokyo Collectables, Ltd",2-2-8 Roppongi,Minato-ku,Tokyo,Japan,Japan,Small
10362,22,100.0,3664.1,2005-01-05,Shipped,1,2005,Motorcycles,Technics Stores Inc.,9408 Furth Circle,Burlingame,CA,USA,NAM,Medium
10374,22,100.0,3834.38,2005-02-02,Shipped,2,2005,Motorcycles,"Australian Gift Network, Co",31 Duncan St. West End,South Brisbane,Queensland,Australia,APAC,Medium
10388,21,86.77,1822.17,2005-03-03,Shipped,3,2005,Motorcycles,FunGiftIdeas.com,1785 First Street,New Bedford,MA,USA,NAM,Small
10403,66,100.0,11886.6,2005-04-08,Shipped,4,2005,Motorcycles,"UK Collectables, Ltd.",Berkeley Gardens 12  Brewery,Liverpool,,UK,EMEA,Large
10417,56,100.0,9218.16,2005-05-13,Disputed,5,2005,Motorcycles,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,,Spain,EMEA,Large
10105,50,100.0,7208.0,2003-02-11,Shipped,2,2003,Classic Cars,Danish Wholesale Imports,Vinb'ltet 34,Kobenhavn,,Denmark,EMEA,Large
10119,46,100.0,5004.8,2003-04-28,Shipped,4,2003,Classic Cars,Salzburg Collectables,Geislweg 14,Salzburg,,Austria,EMEA,Medium
10129,33,100.0,4398.24,2003-06-12,Shipped,6,2003,Classic Cars,"Stylish Desk Decors, Co.",35 King George,London,,UK,EMEA,Medium
10143,49,100.0,5597.76,2003-08-10,Shipped,8,2003,Classic Cars,Mini Creations Ltd.,4575 Hillside Dr.,New Bedford,MA,USA,NAM,Medium
10155,32,100.0,4526.08,2003-10-06,Shipped,10,2003,Classic Cars,"Toys of Finland, Co.",Keskuskatu 45,Helsinki,,Finland,EMEA,Medium
10178,24,100.0,3492.48,2003-11-08,Shipped,11,2003,Classic Cars,Alpha Cognac,1 rue Alsace-Lorraine,Toulouse,,France,EMEA,Medium
10186,26,100.0,3854.24,2003-11-14,Shipped,11,2003,Classic Cars,"Double Decker Gift Stores, Ltd",120 Hanover Sq.,London,,UK,EMEA,Medium
10197,45,100.0,5324.4,2003-11-26,Shipped,11,2003,Classic Cars,Enaco Distributors,"Rambla de Catalu¤a, 23",Barcelona,,Spain,EMEA,Medium
10209,39,100.0,5197.92,2004-01-09,Shipped,1,2004,Classic Cars,"Men 'R' US Retailers, Ltd.",6047 Douglas Av.,Los Angeles,CA,USA,NAM,Medium
10222,49,100.0,5997.6,2004-02-19,Shipped,2,2004,Classic Cars,Collectable Mini Designs Co.,361 Furth Circle,San Diego,CA,USA,NAM,Medium
10261,27,100.0,3378.24,2004-06-17,Shipped,6,2004,Classic Cars,Quebec Home Shopping Network,43 rue St. Laurent,Montreal,Quebec,Canada,NAM,Medium
10273,30,100.0,3508.8,2004-07-21,Shipped,7,2004,Classic Cars,Petit Auto,Rue Joseph-Bens 532,Bruxelles,,Belgium,EMEA,Medium
10283,25,100.0,2992.0,2004-08-20,Shipped,8,2004,Classic Cars,"Royal Canadian Collectables, Ltd.",23 Tsawassen Blvd.,Tsawassen,BC,Canada,NAM,Small
10295,24,100.0,3427.2,2004-09-10,Shipped,9,2004,Classic Cars,Gifts4AllAges.com,8616 Spinnaker Dr.,Boston,MA,USA,NAM,Medium
10307,22,100.0,2692.8,2004-10-14,Shipped,10,2004,Classic Cars,"Classic Gift Ideas, Inc",782 First Street,Philadelphia,PA,USA,NAM,Small
10316,33,100.0,4128.96,2004-11-01,Shipped,11,2004,Classic Cars,giftsbymail.co.uk,Garden House Crowther Way,Cowes,Isle of Wight,UK,EMEA,Medium
10325,47,64.93,3051.71,2004-11-05,Shipped,11,2004,Classic Cars,Baane Mini Imports,Erling Skakkes gate 78,Stavern,,Norway,EMEA,Medium
10337,25,48.05,1201.25,2004-11-21,Shipped,11,2004,Classic Cars,Classic Legends Inc.,5905 Pompton St.,NYC,NY,USA,NAM,Small
10350,26,75.47,1962.22,2004-12-02,Shipped,12,2004,Classic Cars,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,,Spain,EMEA,Small
10359,48,54.68,2624.64,2004-12-15,Shipped,12,2004,Classic Cars,Reims Collectables,59 rue de l'Abbaye,Reims,,France,EMEA,Small
10373,39,100.0,4046.25,2005-01-31,Shipped,1,2005,Classic Cars,"Oulu Toy Supplies, Inc.",Torikatu 38,Oulu,,Finland,EMEA,Medium
10384,34,100.0,4846.7,2005-02-23,Shipped,2,2005,Classic Cars,Corporate Gift Ideas Co.,7734 Strong St.,San Francisco,CA,USA,NAM,Medium
10395,32,100.0,3370.56,2005-03-17,Shipped,3,2005,Classic Cars,Lyon Souveniers,27 rue du Colonel Pierre Avia,Paris,,France,EMEA,Medium
10400,64,100.0,9661.44,2005-04-01,Shipped,4,2005,Classic Cars,The Sharp Gifts Warehouse,3086 Ingle Ln.,San Jose,CA,USA,NAM,Large
10103,42,100.0,5398.26,2003-01-29,Shipped,1,2003,Classic Cars,Baane Mini Imports,Erling Skakkes gate 78,Stavern,,Norway,EMEA,Medium
10114,31,100.0,4305.28,2003-04-01,Shipped,4,2003,Classic Cars,"La Corne D'abondance, Co.","265, boulevard Charonne",Paris,,France,EMEA,Medium
10126,22,100.0,3347.74,2003-05-28,Shipped,5,2003,Classic Cars,"Corrida Auto Replicas, Ltd","C/ Araquil, 67",Madrid,,Spain,EMEA,Medium
10140,26,100.0,3188.12,2003-07-24,Shipped,7,2003,Classic Cars,Technics Stores Inc.,9408 Furth Circle,Burlingame,CA,USA,NAM,Medium
10150,20,100.0,3191.2,2003-09-19,Shipped,9,2003,Classic Cars,"Dragon Souveniers, Ltd.","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,,Singapore,Japan,Medium
10164,21,100.0,3536.82,2003-10-21,Resolved,10,2003,Classic Cars,Mini Auto Werke,Kirchgasse 6,Graz,,Austria,EMEA,Medium
10175,33,100.0,5362.83,2003-11-06,Shipped,11,2003,Classic Cars,"Stylish Desk Decors, Co.",35 King George,London,,UK,EMEA,Medium
10183,28,100.0,3433.36,2003-11-13,Shipped,11,2003,Classic Cars,"Classic Gift Ideas, Inc",782 First Street,Philadelphia,PA,USA,NAM,Medium
10194,26,100.0,4263.74,2003-11-25,Shipped,11,2003,Classic Cars,"Saveley & Henriot, Co.","2, rue du Commerce",Lyon,,France,EMEA,Medium
10207,31,100.0,4076.19,2003-12-09,Shipped,12,2003,Classic Cars,Diecast Collectables,6251 Ingle Ln.,Boston,MA,USA,NAM,Medium
10217,48,100.0,7020.48,2004-02-04,Shipped,2,2004,Classic Cars,Handji Gifts& Co,Village Close - 106 Linden Road Sandown,Singapore,,Singapore,APAC,Large
10229,50,100.0,6426.5,2004-03-11,Shipped,3,2004,Classic Cars,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,CA,USA,NAM,Medium
10245,28,100.0,4591.72,2004-05-04,Shipped,5,2004,Classic Cars,Super Scale Inc.,567 North Pendale Street,New Haven,CT,USA,NAM,Medium
10259,26,100.0,4033.38,2004-06-15,Shipped,6,2004,Classic Cars,Handji Gifts& Co,Village Close - 106 Linden Road Sandown,Singapore,,Singapore,APAC,Medium
10270,32,100.0,4302.08,2004-07-19,Shipped,7,2004,Classic Cars,Souveniers And Things Co.,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,Australia,APAC,Medium
10281,44,100.0,7020.64,2004-08-19,Shipped,8,2004,Classic Cars,Diecast Classics Inc.,7586 Pompton St.,Allentown,PA,USA,NAM,Large
10291,30,100.0,3855.9,2004-09-08,Shipped,9,2004,Classic Cars,Scandinavian Gift Ideas,?kergatan 24,Boras,,Sweden,EMEA,Medium
10305,38,100.0,6680.78,2004-10-13,Shipped,10,2004,Classic Cars,Marta's Replicas Co.,39323 Spinnaker Dr.,Cambridge,MA,USA,NAM,Medium
10313,40,100.0,6678.0,2004-10-22,Shipped,10,2004,Classic Cars,Canadian Gift Exchange Network,1900 Oak St.,Vancouver,BC,Canada,NAM,Medium
10322,46,61.99,2851.54,2004-11-04,Shipped,11,2004,Classic Cars,Online Diecast Creations Co.,2304 Long Airport Avenue,Nashua,NH,USA,NAM,Small
10347,27,100.0,4428.0,2004-11-29,Shipped,11,2004,Classic Cars,"Australian Collectors, Co.",636 St Kilda Road,Melbourne,Victoria,Australia,APAC,Medium
10357,43,100.0,5780.92,2004-12-10,Shipped,12,2004,Classic Cars,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,CA,USA,NAM,Medium
10370,35,65.63,2297.05,2005-01-20,Shipped,1,2005,Classic Cars,"Anna's Decorations, Ltd",201 Miller Street,North Sydney,NSW,Australia,APAC,Small
10381,37,100.0,6231.54,2005-02-17,Shipped,2,2005,Classic Cars,Corporate Gift Ideas Co.,7734 Strong St.,San Francisco,CA,USA,NAM,Medium
10391,37,46.9,1735.3,2005-03-09,Shipped,3,2005,Classic Cars,"Anna's Decorations, Ltd",201 Miller Street,North Sydney,NSW,Australia,APAC,Small
10411,27,100.0,4427.73,2005-05-01,Shipped,5,2005,Classic Cars,Quebec Home Shopping Network,43 rue St. Laurent,Montreal,Quebec,Canada,NAM,Medium
10425,38,100.0,5894.94,2005-05-31,In Process,5,2005,Classic Cars,La Rochelle Gifts,"67, rue des Cinquante Otages",Nantes,,France,EMEA,Medium
10108,33,100.0,5265.15,2003-03-03,Shipped,3,2003,Classic Cars,Cruz & Sons Co.,15 McCallum Street - NatWest Center #13-03,Makati City,,Philippines,Japan,Medium
10122,42,100.0,7599.9,2003-05-08,Shipped,5,2003,Classic Cars,Marseille Mini Autos,"12, rue des Bouchers",Marseille,,France,EMEA,Large
10135,42,100.0,8008.56,2003-07-02,Shipped,7,2003,Classic Cars,Mini Gifts Distributors Ltd.,5677 Strong St.,San Rafael,CA,USA,NAM,Large
10147,48,100.0,9245.76,2003-09-05,Shipped,9,2003,Classic Cars,Collectables For Less Inc.,7825 Douglas Av.,Brickhaven,MA,USA,NAM,Large
10159,41,100.0,8296.35,2003-10-10,Shipped,10,2003,Classic Cars,Corporate Gift Ideas Co.,7734 Strong St.,San Francisco,CA,USA,NAM,Large
10169,30,100.0,5019.9,2003-11-04,Shipped,11,2003,Classic Cars,"Anna's Decorations, Ltd",201 Miller Street,North Sydney,NSW,Australia,APAC,Medium
10181,27,100.0,5411.07,2003-11-12,Shipped,11,2003,Classic Cars,Herkku Gifts,"Drammen 121, PR 744 Sentrum",Bergen,,Norway,EMEA,Medium
10191,21,100.0,3840.9,2003-11-20,Shipped,11,2003,Classic Cars,"Toms Spezialitten, Ltd",Mehrheimerstr. 369,Koln,,Germany,EMEA,Medium
10203,20,100.0,3930.4,2003-12-02,Shipped,12,2003,Classic Cars,Euro Shopping Channel,"C/ Moralzarzal, 86",Madrid,,Spain,EMEA,Medium
10211,41,100.0,7498.9,2004-01-15,Shipped,1,2004,Classic Cars,Auto Canal Petit,"25, rue Lauriston",Paris,,France,EMEA,Large
10225,27,100.0,4517.91,2004-02-22,Shipped,2,2004,Classic Cars,"Vida Sport, Ltd",Grenzacherweg 237,Gensve,,Switzerland,EMEA,Medium
10238,28,100.0,5774.72,2004-04-09,Shipped,4,2004,Classic Cars,Danish Wholesale Imports,Vinb'ltet 34,Kobenhavn,,Denmark,EMEA,Medium
